brainwt,bodywt,animal
3.385,44.5,Arctic_fox
0.48,15.499,Owl_monkey
1.35,8.1,Beaver
464.983,423.012,Cow
36.328,119.498,Gray_wolf
27.66,114.996,Goat
14.831,98.199,Roe_deer
1.04,5.5,Guinea_pig
4.19,57.998,Vervet
0.425,6.4,Chinchilla
0.101,4,Ground_squirrel
0.92,5.7,Arctic
1,6.6,African_giant_pouched_rat
0.005,0.14,Lesser_short-tailed-shrew
0.06,1,Star-nosed_mole
3.5,10.8,Nine-banded_armadillo
2,12.3,Tree_hyrax
1.7,6.3,N._American
2547.07,4603.17,Asian_elephant
0.023,0.3,Big_brown_bat
187.092,419.012,Donkey
521.026,654.977,Horse
0.785,3.5,European_hedgehog
10,114.996,Patas_monkey
3.3,25.6,Cat
0.2,5,Galago
1.41,17.5,Genet
529.006,680.005,Giraffe
206.996,406.019,Gorilla
85.004,324.992,Gray_seal
0.75,12.3,Rock_hyrax1
61.998,1320.02,Human
6654.18,5711.86,African_elephant
3.5,3.9,Water_opossum
6.8,179.003,Rhesus_monkey
34.998,56.003,Kangaroo
4.05,17,Yellow-bellied_marmot
0.12,1,Golden_hamster
0.023,0.4,Mouse
0.01,0.25,Little_brown_bat
1.4,12.5,Slow_loris
250.01,489.997,Okapi
2.5,12.1,Rabbit
55.501,175.002,Sheep
100.003,156.993,Jaguar
52.159,440.011,Chimpanzee
10.55,179.504,Baboon
0.55,2.4,Desert_hedgehog
59.997,80.996,Giant_armadillo
3.6,21,Rock_hyrax2
4.288,39.201,Raccoon
0.28,1.9,Rat
0.075,1.2,E._American_mole
0.122,3,Mole_rat
0.048,0.33,Musk_shrew
192.001,180.008,Pig
3,25.001,Echidna
160.004,169,Brazilian_tapir
0.9,2.6,Tenrec
1.62,11.4,Phalanger
0.104,2.5,Tree_shrew
4.235,50.4,Red_fox
