id,carat,cut,color,clarity,depth,table,x,y,z
0,0.79,Very Good,F,SI1,62.7,60.0,5.82,5.89,3.67
1,1.2,Ideal,J,VS1,61.0,57.0,6.81,6.89,4.18
2,1.57,Premium,H,SI1,62.2,61.0,7.38,7.32,4.57
3,0.9,Very Good,F,SI1,63.8,54.0,6.09,6.13,3.9
4,0.5,Very Good,F,VS1,62.9,58.0,5.05,5.09,3.19
5,1.01,Premium,F,VS2,61.3,61.0,6.38,6.34,3.9
6,1.04,Premium,H,SI1,61.0,58.0,6.6,6.54,4.01
7,0.91,Good,D,SI1,63.1,61.0,6.1,6.16,3.87
8,1.13,Ideal,I,VS2,62.2,55.0,6.69,6.67,4.15
9,1.61,Ideal,F,VS2,62.9,56.0,7.52,7.46,4.71
10,1.06,Very Good,I,SI1,60.2,59.0,6.62,6.67,4.0
11,0.3,Premium,D,VS2,62.5,58.0,4.29,4.26,2.67
12,0.53,Ideal,D,VVS1,62.1,57.0,5.15,5.18,3.21
13,0.52,Premium,D,SI1,59.7,60.0,5.26,5.19,3.12
14,0.73,Premium,F,SI1,61.2,60.0,5.78,5.73,3.52
15,0.42,Ideal,D,VS1,62.1,56.0,4.78,4.82,2.98
16,0.5,Ideal,G,VS2,61.6,55.0,5.11,5.14,3.16
17,0.9,Very Good,G,SI1,62.2,58.0,6.15,6.2,3.84
18,1.02,Very Good,H,SI2,59.7,58.0,6.53,6.57,3.91
19,0.31,Ideal,F,VVS1,61.6,56.0,4.34,4.36,2.68
20,0.7,Ideal,I,SI1,62.6,54.0,5.63,5.71,3.55
21,1.2,Ideal,J,VS2,61.6,54.0,6.88,6.82,4.22
22,1.0,Fair,F,SI1,65.8,58.0,6.23,6.15,4.07
23,0.3,Very Good,H,VVS2,61.5,57.0,4.32,4.36,2.66
24,2.02,Very Good,G,SI2,62.8,55.0,8.06,8.11,5.08
25,0.5,Very Good,J,VS1,61.4,57.8,5.09,5.14,3.15
26,0.36,Ideal,H,SI1,62.3,57.0,4.58,4.54,2.84
27,0.42,Ideal,G,VS1,62.0,55.0,4.83,4.78,2.98
28,0.5,Very Good,F,VS1,59.9,61.0,5.13,5.16,3.08
29,0.4,Premium,E,SI1,62.0,55.0,4.74,4.68,2.92
30,1.62,Good,I,VS1,59.6,65.0,7.69,7.59,4.55
31,0.3,Premium,D,SI2,62.4,59.0,4.28,4.25,2.66
32,1.0,Very Good,F,SI2,63.3,58.0,6.26,6.29,3.97
33,0.32,Premium,D,SI1,62.2,60.0,4.37,4.34,2.71
34,0.27,Very Good,D,VVS1,62.3,54.0,4.18,4.21,2.61
35,0.71,Very Good,F,SI1,62.1,58.0,5.64,5.72,3.53
36,1.5,Fair,I,SI2,64.9,61.0,7.14,7.09,4.62
37,0.9,Good,J,SI1,64.0,61.0,6.0,5.96,3.83
38,0.71,Premium,D,SI1,60.5,59.0,5.81,5.79,3.51
39,0.32,Premium,F,VS2,61.5,58.0,4.39,4.42,2.71
40,0.23,Very Good,E,VVS2,62.4,59.0,3.91,3.94,2.45
41,1.21,Ideal,G,VS1,61.8,57.0,6.81,6.86,4.23
42,0.31,Very Good,E,VVS1,60.3,57.0,4.41,4.44,2.67
43,0.61,Good,H,VS1,60.1,60.3,5.47,5.5,3.29
44,1.31,Ideal,G,VS1,62.0,53.0,7.06,7.07,4.37
45,0.7,Good,E,SI1,61.4,64.0,5.66,5.71,3.49
46,0.38,Ideal,D,VS2,60.7,56.0,4.69,4.74,2.86
47,0.3,Ideal,D,VS2,62.0,55.0,4.34,4.31,2.68
48,0.53,Good,H,SI1,63.7,55.0,5.12,5.15,3.27
49,0.77,Very Good,H,VS1,62.2,57.0,5.81,5.86,3.63
50,0.34,Ideal,F,SI1,61.1,56.0,4.52,4.55,2.77
51,1.01,Premium,H,SI1,61.8,59.0,6.41,6.37,3.95
52,0.71,Very Good,E,VS2,59.6,60.0,5.8,5.85,3.47
